frame_len,packet_count,stream_bytes,total_frame_bytes,completed,tx_packets,tx_bytes,late_packets,underrun_packets,debug_ticks,hw_seconds,hw_gbps,load_seconds,load_gbps,wall_seconds
64,2000,256000,128000,True,2000,128000,2000,0,8125,2.7083333333333332e-05,37.80923076923077,0.0004120149533264339,4.970693377668255,0.005066728976089507
128,2000,384000,256000,True,2000,256000,2000,5,10130,3.376666666666667e-05,60.65153010858835,0.00030944100581109524,9.92757889972529,0.005066290032118559
256,2000,640000,512000,True,2000,512000,2000,603,15034,5.0113333333333334e-05,81.73473460156978,0.0004921579966321588,10.403163283003025,0.00506673997733742
512,2000,1152000,1024000,True,2000,1024000,2000,4546,27133,9.044333333333334e-05,90.57605130284155,0.0008245710050687194,11.176720917117311,0.005070329993031919
1024,2000,2176000,2048000,True,2000,2048000,2000,12263,51125,0.00017041666666666667,96.14083129584353,0.0008475019712932408,20.540365202261846,0.005066530022304505
1518,2000,3200000,3036000,True,2000,3036000,2000,19958,75286,0.0002509533333333333,96.7829344101161,0.0023295169812627137,10.98940261260664,0.005068550002761185
