frame_len,gap_ticks,packet_count,completed,tx_packets,drop_packets,delivered_packets_est,tx_bytes,late_packets,underrun_packets,drop_beats,stall_events,debug_ticks,scheduled_seconds,wall_seconds,delivered_l2_gbps,delivered_wire_gbps,load_seconds,load_gbps
64,0,100000,True,100000,95561,4439,6400000,100000,0,95561,32,238243,0.0007941433333333334,0.005077415960840881,2.8619115776748947,3.9351284193029805,0.012550363899208605,8.159125968168707
1518,0,100000,True,100000,100000,0,151800000,100000,0,2400000,65,2671271,0.008904236666666667,0.010145101929083467,0.0,0.0,0.10578347300179303,12.100188844984357
