frame_len,gap_ticks,packet_count,completed,tx_packets,drop_packets,delivered_packets_est,tx_bytes,late_packets,underrun_packets,drop_beats,stall_events,debug_ticks,scheduled_seconds,wall_seconds,delivered_l2_gbps,delivered_wire_gbps,load_seconds,load_gbps
64,3,50000,True,50000,0,50000,3200000,0,0,0,0,150004,0.0005000133333333334,0.005067687947303057,51.198634703074575,70.39812271672756,0.007127544959075749,7.183399093793898
1518,38,50000,True,50000,0,50000,75900000,0,0,0,0,1900027,0.0063334233333333335,0.010143957915715873,95.8723218143742,97.38808974819833,0.04127854201942682,15.504423574330662
